COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Roseate Spoonbill,Platalea ajaja,Platalea_ajaja,Aves,Pelecaniformes,Threskiornithidae,1500,1519.5,1463
African Spoonbill,Platalea alba,Platalea_alba,Aves,Pelecaniformes,Threskiornithidae,1521,1790,-999
Yellow-billed Spoonbill,Platalea flavipes,Platalea_flavipes,Aves,Pelecaniformes,Threskiornithidae,1842.5,1707,1875
Eurasian Spoonbill,Platalea leucorodia,Platalea_leucorodia,Aves,Pelecaniformes,Threskiornithidae,1868,1390,1676.5
Black-faced Spoonbill,Platalea minor,Platalea_minor,Aves,Pelecaniformes,Threskiornithidae,1228,-999,-999
Royal Spoonbill,Platalea regia,Platalea_regia,Aves,Pelecaniformes,Threskiornithidae,1795.25,1575,1886
White-faced Ibis,Plegadis chihi,Plegadis_chihi,Aves,Pelecaniformes,Threskiornithidae,583.75,546,691
Glossy Ibis,Plegadis falcinellus,Plegadis_falcinellus,Aves,Pelecaniformes,Threskiornithidae,633.75,605,662.5
Puna Ibis,Plegadis ridgwayi,Plegadis_ridgwayi,Aves,Pelecaniformes,Threskiornithidae,584,513.5,664
White-shouldered Ibis,Pseudibis davisoni,Pseudibis_davisoni,Aves,Pelecaniformes,Threskiornithidae,1588,-999,1588
Giant Ibis,Pseudibis gigantea,Thaumatibis_gigantea,Aves,Pelecaniformes,Threskiornithidae,3515,-999,3515
Red-naped Ibis,Pseudibis papillosa,Pseudibis_papillosa,Aves,Pelecaniformes,Threskiornithidae,-999,-999,-999
Plumbeous Ibis,Theristicus caerulescens,Theristicus_caerulescens,Aves,Pelecaniformes,Threskiornithidae,1500,-999,1500
Buff-necked Ibis,Theristicus caudatus,Theristicus_caudatus,Aves,Pelecaniformes,Threskiornithidae,1726,-999,-999
Black-faced Ibis,Theristicus melanopis,Theristicus_melanopis,Aves,Pelecaniformes,Threskiornithidae,1200,1200,-999
African Sacred Ibis,Threskiornis aethiopicus,Threskiornis_aethiopicus,Aves,Pelecaniformes,Threskiornithidae,1530,1424.5,1572.75
Malagasy Sacred Ibis,Threskiornis bernieri,Threskiornis_bernieri,Aves,Pelecaniformes,Threskiornithidae,1530,1424.5,1572.75
Black-headed Ibis,Threskiornis melanocephalus,Threskiornis_melanocephalus,Aves,Pelecaniformes,Threskiornithidae,1530,1424.5,1572.75
Straw-necked Ibis,Threskiornis spinicollis,Threskiornis_spinicollis,Aves,Pelecaniformes,Threskiornithidae,1351.375,1237.5,1465
Red-billed Tropicbird,Phaethon aethereus,Phaethon_aethereus,Aves,Phaethontiformes,Phaethontidae,750,750,-999
White-tailed Tropicbird,Phaethon lepturus,Phaethon_lepturus,Aves,Phaethontiformes,Phaethontidae,347,392,-999
Red-tailed Tropicbird,Phaethon rubricauda,Phaethon_rubricauda,Aves,Phaethontiformes,Phaethontidae,645,220.2,218.7
Lesser Flamingo,Phoeniconaias minor,Phoeniconaias_minor,Aves,Phoenicopteriformes,Phoenicopteridae,1760,1590,1930
Andean Flamingo,Phoenicoparrus andinus,Phoenicoparrus_andinus,Aves,Phoenicopteriformes,Phoenicopteridae,2800,2050,3625
James's Flamingo,Phoenicoparrus jamesi,Phoenicoparrus_jamesi,Aves,Phoenicopteriformes,Phoenicopteridae,2000,-999,-999
Chilean Flamingo,Phoenicopterus chilensis,Phoenicopterus_chilensis,Aves,Phoenicopteriformes,Phoenicopteridae,2615,2530,3574.5
Greater Flamingo,Phoenicopterus roseus,Phoenicopterus_roseus,Aves,Phoenicopteriformes,Phoenicopteridae,3043.5,2530,3574.5
American Flamingo,Phoenicopterus ruber,Phoenicopterus_ruber,Aves,Phoenicopteriformes,Phoenicopteridae,3043.5,2530,3574.5
Collared Puffbird,Bucco capensis,Bucco_capensis,Aves,Piciformes,Bucconidae,54,-999,-999
Chestnut-capped Puffbird,Bucco macrodactylus,Bucco_macrodactylus,Aves,Piciformes,Bucconidae,25,-999,-999
Spotted Puffbird,Bucco tamatia,Bucco_tamatia,Aves,Piciformes,Bucconidae,44.125,-999,-999
Swallow-winged Puffbird,Chelidoptera tenebrosa,Chelidoptera_tenebrosa,Aves,Piciformes,Bucconidae,35.25,38,32.5
White-faced Nunbird,Hapaloptila castanea,Hapaloptila_castanea,Aves,Piciformes,Bucconidae,80.05,-999,-999
Russet-throated Puffbird,Hypnelus ruficollis,Hypnelus_ruficollis,Aves,Piciformes,Bucconidae,49.975,-999,-999
Black-streaked Puffbird,Malacoptila fulvogularis,Malacoptila_fulvogularis,Aves,Piciformes,Bucconidae,57.4,-999,-999
White-chested Puffbird,Malacoptila fusca,Malacoptila_fusca,Aves,Piciformes,Bucconidae,45.7,-999,-999
Moustached Puffbird,Malacoptila mystacalis,Malacoptila_mystacalis,Aves,Piciformes,Bucconidae,49,-999,-999
White-whiskered Puffbird,Malacoptila panamensis,Malacoptila_panamensis,Aves,Piciformes,Bucconidae,42.6,-999,-999
Rufous-necked Puffbird,Malacoptila rufa,Malacoptila_rufa,Aves,Piciformes,Bucconidae,48.25,49.5,47
Semicollared Puffbird,Malacoptila semicincta,Malacoptila_semicincta,Aves,Piciformes,Bucconidae,45.4,-999,-999
Crescent-chested Puffbird,Malacoptila striata,Malacoptila_striata,Aves,Piciformes,Bucconidae,44.05,-999,-999
Lanceolated Monklet,Micromonacha lanceolata,Micromonacha_lanceolata,Aves,Piciformes,Bucconidae,19.8,-999,-999
Black Nunbird,Monasa atra,Monasa_atra,Aves,Piciformes,Bucconidae,90.2,-999,-999
Yellow-billed Nunbird,Monasa flavirostris,Monasa_flavirostris,Aves,Piciformes,Bucconidae,62.15,-999,-999
White-fronted Nunbird,Monasa morphoeus,Monasa_morphoeus,Aves,Piciformes,Bucconidae,89.45,-999,-999
Black-fronted Nunbird,Monasa nigrifrons,Monasa_nigrifrons,Aves,Piciformes,Bucconidae,80.7,-999,-999
Chestnut-headed Nunlet,Nonnula amaurocephala,Nonnula_amaurocephala,Aves,Piciformes,Bucconidae,15.5,-999,-999
Grey-cheeked Nunlet,Nonnula frontalis,Nonnula_frontalis,Aves,Piciformes,Bucconidae,16.35,-999,-999
Rusty-breasted Nunlet,Nonnula rubecula,Nonnula_rubecula,Aves,Piciformes,Bucconidae,18.45,-999,-999
Rufous-capped Nunlet,Nonnula ruficapilla,Nonnula_ruficapilla,Aves,Piciformes,Bucconidae,22,-999,-999
Fulvous-chinned Nunlet,Nonnula sclateri,Nonnula_sclateri,Aves,Piciformes,Bucconidae,16,-999,-999
White-necked Puffbird,Notharchus hyperrhynchus,Notharchus_hyperrhynchus,Aves,Piciformes,Bucconidae,108.7833333,125,120
Guianan Puffbird,Notharchus macrorhynchos,Notharchus_macrorhynchos,Aves,Piciformes,Bucconidae,108.7833333,125,120
Brown-banded Puffbird,Notharchus ordii,Notharchus_ordii,Aves,Piciformes,Bucconidae,52.775,-999,-999
Black-breasted Puffbird,Notharchus pectoralis,Notharchus_pectoralis,Aves,Piciformes,Bucconidae,69.1,-999,69.1
Buff-bellied Puffbird,Notharchus swainsoni,Notharchus_swainsoni,Aves,Piciformes,Bucconidae,108.7833333,125,120
Pied Puffbird,Notharchus tectus,Notharchus_tectus,Aves,Piciformes,Bucconidae,26.8,27.5,26.3
White-eared Puffbird,Nystalus chacuru,Nystalus_chacuru,Aves,Piciformes,Bucconidae,52.3,-999,-999
Caatinga Puffbird,Nystalus maculatus,Nystalus_maculatus,Aves,Piciformes,Bucconidae,41.25,-999,-999
Barred Puffbird,Nystalus radiatus,Nystalus_radiatus,Aves,Piciformes,Bucconidae,61,-999,-999
Striolated Puffbird,Nystalus striolatus,Nystalus_striolatus,Aves,Piciformes,Bucconidae,47,-999,-999
Gilded Barbet,Capito auratus,Capito_auratus,Aves,Piciformes,Capitonidae,55.2,51.6,55.2
Scarlet-crowned Barbet,Capito aurovirens,Capito_aurovirens,Aves,Piciformes,Capitonidae,58.35,-999,-999
Brown-chested Barbet,Capito brunneipectus,Capito_brunneipectus,Aves,Piciformes,Capitonidae,56.55,51.6,56.55
Black-girdled Barbet,Capito dayi,Capito_dayi,Aves,Piciformes,Capitonidae,66.1,-999,-999
White-mantled Barbet,Capito hypoleucus,Capito_hypoleucus,Aves,Piciformes,Capitonidae,71,67.3,74.625
Spot-crowned Barbet,Capito maculicoronatus,Capito_maculicoronatus,Aves,Piciformes,Capitonidae,55.2,49.35,56
Black-spotted Barbet,Capito niger,Capito_niger,Aves,Piciformes,Capitonidae,55.2,51.6,55.2
Five-colored Barbet,Capito quinticolor,Capito_quinticolor,Aves,Piciformes,Capitonidae,60.05,58.225,62.075
Orange-fronted Barbet,Capito squamatus,Capito_squamatus,Aves,Piciformes,Capitonidae,59.15,57.275,61.15
Scarlet-banded Barbet,Capito wallacei,Capito_wallacei,Aves,Piciformes,Capitonidae,70,-999,-999
Red-headed Barbet,Eubucco bourcierii,Eubucco_bourcierii,Aves,Piciformes,Capitonidae,36,-999,-999
Lemon-throated Barbet,Eubucco richardsoni,Eubucco_richardsoni,Aves,Piciformes,Capitonidae,33.95,-999,-999
Scarlet-hooded Barbet,Eubucco tucinkae,Eubucco_tucinkae,Aves,Piciformes,Capitonidae,39.35,-999,41.975
Versicolored Barbet,Eubucco versicolor,Eubucco_versicolor,Aves,Piciformes,Capitonidae,33.15,-999,-999
Pale-headed Jacamar,Brachygalba goeringi,Brachygalba_goeringi,Aves,Piciformes,Galbulidae,-999,-999,-999
Brown Jacamar,Brachygalba lugubris,Brachygalba_lugubris,Aves,Piciformes,Galbulidae,15.85,-999,-999
Dusky-backed Jacamar,Brachygalba salmoni,Brachygalba_salmoni,Aves,Piciformes,Galbulidae,17.25,16,18.5
White-eared Jacamar,Galbalcyrhynchus leucotis,Galbalcyrhynchus_leucotis,Aves,Piciformes,Galbulidae,47,-999,-999
Purus Jacamar,Galbalcyrhynchus purusianus,Galbalcyrhynchus_purusianus,Aves,Piciformes,Galbulidae,48.5,-999,-999
Yellow-billed Jacamar,Galbula albirostris,Galbula_albirostris,Aves,Piciformes,Galbulidae,22,21,22
Purplish Jacamar,Galbula chalcothorax,Galbula_chalcothorax,Aves,Piciformes,Galbulidae,16.5,-999,-999
Bluish-fronted Jacamar,Galbula cyanescens,Galbula_cyanescens,Aves,Piciformes,Galbulidae,25.3,-999,-999
Blue-necked Jacamar,Galbula cyanicollis,Galbula_cyanicollis,Aves,Piciformes,Galbulidae,22.05,21,22
Paradise Jacamar,Galbula dea,Galbula_dea,Aves,Piciformes,Galbulidae,27.075,-999,-999
Green-tailed Jacamar,Galbula galbula,Galbula_galbula,Aves,Piciformes,Galbulidae,23,21.5,21.5
Bronzy Jacamar,Galbula leucogastra,Galbula_leucogastra,Aves,Piciformes,Galbulidae,16.2,-999,-999
Coppery-chested Jacamar,Galbula pastazae,Galbula_pastazae,Aves,Piciformes,Galbulidae,31.775,-999,-999
Rufous-tailed Jacamar,Galbula ruficauda,Galbula_ruficauda,Aves,Piciformes,Galbulidae,26.5,26.9,26.1
White-chinned Jacamar,Galbula tombacea,Galbula_tombacea,Aves,Piciformes,Galbulidae,23.25,-999,-999
Three-toed Jacamar,Jacamaralcyon tridactyla,Jacamaralcyon_tridactyla,Aves,Piciformes,Galbulidae,18.325,18.55,18.1
Great Jacamar,Jacamerops aureus,Jacamerops_aureus,Aves,Piciformes,Galbulidae,62.2,-999,-999
Malaysian Honeyguide,Indicator archipelagicus,Indicator_archipelagicus,Aves,Piciformes,Indicatoridae,31.575,-999,-999
Thick-billed Honeyguide,Indicator conirostris,Indicator_conirostris,Aves,Piciformes,Indicatoridae,30.15,31.15,30
Least Honeyguide,Indicator exilis,Indicator_exilis,Aves,Piciformes,Indicatoridae,18.3,17.325,19.0125
Greater Honeyguide,Indicator indicator,Indicator_indicator,Aves,Piciformes,Indicatoridae,51.4,46.8,48.9
Spotted Honeyguide,Indicator maculatus,Indicator_maculatus,Aves,Piciformes,Indicatoridae,46.8,46.4,50.6
Pallid Honeyguide,Indicator meliphilus,Indicator_meliphilus,Aves,Piciformes,Indicatoridae,16.4,16.9,18.8
Lesser Honeyguide,Indicator minor,Indicator_minor,Aves,Piciformes,Indicatoridae,28.75,25.6,28.75
Dwarf Honeyguide,Indicator pumilio,Indicator_pumilio,Aves,Piciformes,Indicatoridae,13.55,12.75,14
Scaly-throated Honeyguide,Indicator variegatus,Indicator_variegatus,Aves,Piciformes,Indicatoridae,48.15,50.5,46.8
Willcocks's Honeyguide,Indicator willcocksi,Indicator_willcocksi,Aves,Piciformes,Indicatoridae,17.6625,17.1625,19.15
Yellow-rumped Honeyguide,Indicator xanthonotus,Indicator_xanthonotus,Aves,Piciformes,Indicatoridae,30.5,28.45,32.75
Lyre-tailed Honeyguide,Melichneutes robustus,Melichneutes_robustus,Aves,Piciformes,Indicatoridae,54.325,52,56.9
Yellow-footed Honeyguide,Melignomon eisentrauti,Melignomon_eisentrauti,Aves,Piciformes,Indicatoridae,24.2,23.1,25.5
Zenker's Honeyguide,Melignomon zenkeri,Melignomon_zenkeri,Aves,Piciformes,Indicatoridae,23.6,23.6,-999
Cassin's Honeybird,Prodotiscus insignis,Prodotiscus_insignis,Aves,Piciformes,Indicatoridae,10.95,10.7,11.5
Brown-backed Honeybird,Prodotiscus regulus,Prodotiscus_regulus,Aves,Piciformes,Indicatoridae,14.1,14.4,14.1
Green-backed Honeybird,Prodotiscus zambesiae,Prodotiscus_zambesiae,Aves,Piciformes,Indicatoridae,10.45,10.7,10.6
Yellow-spotted Barbet,Buccanodon duchaillui,Buccanodon_duchaillui,Aves,Piciformes,Lybiidae,41.8,41.1,42.05
Grey-throated Barbet,Gymnobucco bonapartei,Gymnobucco_bonapartei,Aves,Piciformes,Lybiidae,62.55,65.3,60.7
Naked-faced Barbet,Gymnobucco calvus,Gymnobucco_calvus,Aves,Piciformes,Lybiidae,56.5,56.5,52.6
Bristle-nosed Barbet,Gymnobucco peli,Gymnobucco_peli,Aves,Piciformes,Lybiidae,52.3,51.6,-999
Double-toothed Barbet,Lybius bidentatus,Lybius_bidentatus,Aves,Piciformes,Lybiidae,80.5,76.25,81.25
Chaplin's Barbet,Lybius chaplini,Lybius_chaplini,Aves,Piciformes,Lybiidae,69.5,-999,69.5
Bearded Barbet,Lybius dubius,Lybius_dubius,Aves,Piciformes,Lybiidae,91.75,87.6,92
Black-billed Barbet,Lybius guifsobalito,Lybius_guifsobalito,Aves,Piciformes,Lybiidae,42.2,41.7,41.5
White-headed Barbet,Lybius leucocephalus,Lybius_leucocephalus,Aves,Piciformes,Lybiidae,62.5,61.8,63.8
Brown-breasted Barbet,Lybius melanopterus,Lybius_melanopterus,Aves,Piciformes,Lybiidae,52.4,-999,41
Black-backed Barbet,Lybius minor,Lybius_minor,Aves,Piciformes,Lybiidae,46.7,-999,57
Black-breasted Barbet,Lybius rolleti,Lybius_rolleti,Aves,Piciformes,Lybiidae,100.5,105,96
Black-collared Barbet,Lybius torquatus,Lybius_torquatus,Aves,Piciformes,Lybiidae,53.2,-999,-999
Banded Barbet,Lybius undatus,Lybius_undatus,Aves,Piciformes,Lybiidae,36.9,38,24.2
Vieillot's Barbet,Lybius vieilloti,Lybius_vieilloti,Aves,Piciformes,Lybiidae,39.5,-999,-999
Red-rumped Tinkerbird,Pogoniulus atroflavus,Pogoniulus_atroflavus,Aves,Piciformes,Lybiidae,17.9,17.7,18.5
Yellow-rumped Tinkerbird,Pogoniulus bilineatus,Pogoniulus_bilineatus,Aves,Piciformes,Lybiidae,12.55,13,12.7
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Pogoniulus_chrysoconus,Aves,Piciformes,Lybiidae,11.125,13,12.7
Moustached Tinkerbird,Pogoniulus leucomystax,Pogoniulus_leucomystax,Aves,Piciformes,Lybiidae,11.15,10,11
Red-fronted Tinkerbird,Pogoniulus pusillus,Pogoniulus_pusillus,Aves,Piciformes,Lybiidae,9.425,-999,-999
Speckled Tinkerbird,Pogoniulus scolopaceus,Pogoniulus_scolopaceus,Aves,Piciformes,Lybiidae,14.5,-999,16.8
Green Tinkerbird,Pogoniulus simplex,Pogoniulus_simplex,Aves,Piciformes,Lybiidae,8.75,8.9,8.5
Yellow-throated Tinkerbird,Pogoniulus subsulphureus,Pogoniulus_subsulphureus,Aves,Piciformes,Lybiidae,10.375,-999,-999
Anchieta's Barbet,Stactolaema anchietae,Stactolaema_anchietae,Aves,Piciformes,Lybiidae,47.3,48,43.4
White-eared Barbet,Stactolaema leucotis,Stactolaema_leucotis,Aves,Piciformes,Lybiidae,54.9,63,-999
Green Barbet,Stactolaema olivacea,Stactolaema_olivacea,Aves,Piciformes,Lybiidae,49.55,50.1,49
Whyte's Barbet,Stactolaema whytii,Stactolaema_whytii,Aves,Piciformes,Lybiidae,55.6,55.7,53.3
D'Arnaud's Barbet,Trachyphonus darnaudii,Trachyphonus_darnaudii,Aves,Piciformes,Lybiidae,36.65,46.4,45.8
Red-and-yellow Barbet,Trachyphonus erythrocephalus,Trachyphonus_erythrocephalus,Aves,Piciformes,Lybiidae,63.5,-999,72.5
Yellow-breasted Barbet,Trachyphonus margaritatus,Trachyphonus_margaritatus,Aves,Piciformes,Lybiidae,46.2,46.1,64
Yellow-billed Barbet,Trachyphonus purpuratus,Trachyphonus_purpuratus,Aves,Piciformes,Lybiidae,78.5,76.25,78
Crested Barbet,Trachyphonus vaillantii,Trachyphonus_vaillantii,Aves,Piciformes,Lybiidae,67,65.95,71.9
Red-fronted Barbet,Tricholaema diademata,Tricholaema_diademata,Aves,Piciformes,Lybiidae,30.1,29.7,30.5
Miombo Pied Barbet,Tricholaema frontata,Tricholaema_frontata,Aves,Piciformes,Lybiidae,26.25,-999,25.5
Hairy-breasted Barbet,Tricholaema hirsuta,Tricholaema_hirsuta,Aves,Piciformes,Lybiidae,53,48,52.5
Spot-flanked Barbet,Tricholaema lacrymosa,Tricholaema_lacrymosa,Aves,Piciformes,Lybiidae,22.9,24.5,23.1
Acacia Pied Barbet,Tricholaema leucomelas,Tricholaema_leucomelas,Aves,Piciformes,Lybiidae,31.175,29.8,32.9
Black-throated Barbet,Tricholaema melanocephala,Tricholaema_melanocephala,Aves,Piciformes,Lybiidae,20.15,19.1,21.9
Brown Barbet,Caloramphus fuliginosus,Calorhamphus_fuliginosus,Aves,Piciformes,Megalaimidae,42.85,-999,-999
Flame-fronted Barbet,Megalaima armillaris,Megalaima_armillaris,Aves,Piciformes,Megalaimidae,69.5,65,74
Blue-throated Barbet,Megalaima asiatica,Megalaima_asiatica,Aves,Piciformes,Megalaimidae,90.5,-999,-999
Blue-eared Barbet,Megalaima australis,Megalaima_australis,Aves,Piciformes,Megalaimidae,33.3,-999,-999
Golden-whiskered Barbet,Megalaima chrysopogon,Megalaima_chrysopogon,Aves,Piciformes,Megalaimidae,148.5,-999,-999
Brown-throated Barbet,Megalaima corvina,Megalaima_corvina,Aves,Piciformes,Megalaimidae,130,-999,130
Chinese Barbet,Megalaima faber,Megalaima_faber,Aves,Piciformes,Megalaimidae,91.35,-999,-999
Green-eared Barbet,Megalaima faiostricta,Megalaima_faiostricta,Aves,Piciformes,Megalaimidae,-999,-999,-999
Yellow-fronted Barbet,Megalaima flavifrons,Megalaima_flavifrons,Aves,Piciformes,Megalaimidae,58.5,-999,58.5
Golden-throated Barbet,Megalaima franklinii,Megalaima_franklinii,Aves,Piciformes,Megalaimidae,63.5,83,90
Coppersmith Barbet,Megalaima haemacephala,Megalaima_haemacephala,Aves,Piciformes,Megalaimidae,43.825,-999,-999
Yellow-crowned Barbet,Megalaima henricii,Megalaima_henricii,Aves,Piciformes,Megalaimidae,74.1,-999,-999
Black-banded Barbet,Megalaima javensis,Megalaima_javensis,Aves,Piciformes,Megalaimidae,115,-999,115
Lineated Barbet,Megalaima lineata,Megalaima_lineata,Aves,Piciformes,Megalaimidae,147.75,156,146
Mountain Barbet,Megalaima monticola,Megalaima_monticola,Aves,Piciformes,Megalaimidae,90.5,99.55,86.9
Red-throated Barbet,Megalaima mystacophanos,Megalaima_mystacophanos,Aves,Piciformes,Megalaimidae,77.525,-999,-999
Taiwan Barbet,Megalaima nuchalis,Megalaima_nuchalis,Aves,Piciformes,Megalaimidae,91.35,-999,-999
Black-browed Barbet,Megalaima oorti,Megalaima_oorti,Aves,Piciformes,Megalaimidae,91.35,-999,-999
Golden-naped Barbet,Megalaima pulcherrima,Megalaima_pulcherrima,Aves,Piciformes,Megalaimidae,65.2,-999,-999
Red-crowned Barbet,Megalaima rafflesii,Megalaima_rafflesii,Aves,Piciformes,Megalaimidae,121.25,-999,-999
Crimson-fronted Barbet,Megalaima rubricapillus,Megalaima_rubricapillus,Aves,Piciformes,Megalaimidae,37.25,35.5,36
Great Barbet,Megalaima virens,Megalaima_virens,Aves,Piciformes,Megalaimidae,202,199,273
White-cheeked Barbet,Megalaima viridis,Megalaima_viridis,Aves,Piciformes,Megalaimidae,80.5,-999,-999
Brown-headed Barbet,Megalaima zeylanica,Megalaima_zeylanica,Aves,Piciformes,Megalaimidae,121.5,-999,-999
Fire-tufted Barbet,Psilopogon pyrolophus,Psilopogon_pyrolophus,Aves,Piciformes,Megalaimidae,130.5,-999,-999
Bay Woodpecker,Blythipicus pyrrhotis,Blythipicus_pyrrhotis,Aves,Piciformes,Picidae,146.8333333,155,170
Maroon Woodpecker,Blythipicus rubiginosus,Blythipicus_rubiginosus,Aves,Piciformes,Picidae,82.3,84.1,80.5
Guayaquil Woodpecker,Campephilus gayaquilensis,Campephilus_gayaquilensis,Aves,Piciformes,Picidae,247.25,-999,-999
Pale-billed Woodpecker,Campephilus guatemalensis,Campephilus_guatemalensis,Aves,Piciformes,Picidae,262,-999,-999
Crimson-bellied Woodpecker,Campephilus haematogaster,Campephilus_haematogaster,Aves,Piciformes,Picidae,237.5,-999,-999
Imperial Woodpecker,Campephilus imperialis,Campephilus_imperialis,Aves,Piciformes,Picidae,-999,-999,-999
Cream-backed Woodpecker,Campephilus leucopogon,Campephilus_leucopogon,Aves,Piciformes,Picidae,250.25,-999,-999
Magellanic Woodpecker,Campephilus magellanicus,Campephilus_magellanicus,Aves,Piciformes,Picidae,323,-999,-999
Crimson-crested Woodpecker,Campephilus melanoleucos,Campephilus_melanoleucos,Aves,Piciformes,Picidae,254.5,256,262
Ivory-billed Woodpecker,Campephilus principalis,Campephilus_principalis,Aves,Piciformes,Picidae,497.75,448,448
Robust Woodpecker,Campephilus robustus,Campephilus_robustus,Aves,Piciformes,Picidae,247,-999,-999
Red-necked Woodpecker,Campephilus rubricollis,Campephilus_rubricollis,Aves,Piciformes,Picidae,210.1666667,199.5,218
Golden-tailed Woodpecker,Campethera abingoni,Campethera_abingoni,Aves,Piciformes,Picidae,68.5,70,67
Bennett's Woodpecker,Campethera bennettii,Campethera_bennettii,Aves,Piciformes,Picidae,71.175,67,68.4
Green-backed Woodpecker,Campethera cailliautii,Campethera_cailliautii,Aves,Piciformes,Picidae,43.55,43,49
Brown-eared Woodpecker,Campethera caroli,Campethera_caroli,Aves,Piciformes,Picidae,57.5,56.5,58.5
Little Green Woodpecker,Campethera maculosa,Campethera_maculosa,Aves,Piciformes,Picidae,54,-999,-999
Mombasa Woodpecker,Campethera mombassica,Campethera_mombassica,Aves,Piciformes,Picidae,68.5,70,67
Buff-spotted Woodpecker,Campethera nivosa,Campethera_nivosa,Aves,Piciformes,Picidae,38.525,34.5,34.7
Knysna Woodpecker,Campethera notata,Campethera_notata,Aves,Piciformes,Picidae,62,-999,-999
Nubian Woodpecker,Campethera nubica,Campethera_nubica,Aves,Piciformes,Picidae,60.65,60.1,63.1
Fine-spotted Woodpecker,Campethera punctuligera,Campethera_punctuligera,Aves,Piciformes,Picidae,71.65,72.5,67
Speckle-throated Woodpecker,Campethera scriptoricauda,Campethera_scriptoricauda,Aves,Piciformes,Picidae,68.9,63.55,65.75
Tullberg's Woodpecker,Campethera tullbergi,Campethera_tullbergi,Aves,Piciformes,Picidae,52.55,49,53
Chestnut-colored Woodpecker,Celeus castaneus,Celeus_castaneus,Aves,Piciformes,Picidae,85.6,-999,-999
Chestnut Woodpecker,Celeus elegans,Celeus_elegans,Aves,Piciformes,Picidae,144,146,142
Blond-crested Woodpecker,Celeus flavescens,Celeus_flavescens,Aves,Piciformes,Picidae,154.25,-999,-999
Cream-colored Woodpecker,Celeus flavus,Celeus_flavus,Aves,Piciformes,Picidae,113,-999,-999
Scaly-breasted Woodpecker,Celeus grammicus,Celeus_grammicus,Aves,Piciformes,Picidae,75.75,72.4,75.75
Cinnamon Woodpecker,Celeus loricatus,Celeus_loricatus,Aves,Piciformes,Picidae,76.9,-999,-999
Pale-crested Woodpecker,Celeus lugubris,Celeus_lugubris,Aves,Piciformes,Picidae,143.5,-999,137.25
Kaempfer's Woodpecker,Celeus obrieni,Celeus_obrieni,Aves,Piciformes,Picidae,113.5,-999,-999
Rufous-headed Woodpecker,Celeus spectabilis,Celeus_spectabilis,Aves,Piciformes,Picidae,113.5,-999,-999
Ringed Woodpecker,Celeus torquatus,Celeus_torquatus,Aves,Piciformes,Picidae,134,-999,-999
Waved Woodpecker,Celeus undatus,Celeus_undatus,Aves,Piciformes,Picidae,64.5,-999,-999
White-naped Woodpecker,Chrysocolaptes festivus,Chrysocolaptes_festivus,Aves,Piciformes,Picidae,213,-999,-999
Greater Flameback,Chrysocolaptes guttacristatus,Chrysocolaptes_lucidus,Aves,Piciformes,Picidae,170.9166667,174.5,211
Buff-spotted Flameback,Chrysocolaptes lucidus,Chrysocolaptes_lucidus,Aves,Piciformes,Picidae,170.9166667,174.5,211
Greater Yellownape,Chrysophlegma flavinucha,Picus_flavinucha,Aves,Piciformes,Picidae,185,169.5,185
Checker-throated Woodpecker,Chrysophlegma mentale,Picus_mentalis,Aves,Piciformes,Picidae,105.3,-999,-999
Banded Woodpecker,Chrysophlegma miniaceum,Picus_mineaceus,Aves,Piciformes,Picidae,97.3,-999,-999
Black-necked Woodpecker,Colaptes atricollis,Colaptes_atricollis,Aves,Piciformes,Picidae,78.625,73.6,78.625
Northern Flicker,Colaptes auratus,Colaptes_auratus,Aves,Piciformes,Picidae,130.6716667,128.4,128
Grey-crowned Woodpecker,Colaptes auricularis,Colaptes_auricularis,Aves,Piciformes,Picidae,65.75,-999,65.75
Campo Flicker,Colaptes campestris,Colaptes_campestris,Aves,Piciformes,Picidae,158,-999,-999
Gilded Flicker,Colaptes chrysoides,Colaptes_chrysoides,Aves,Piciformes,Picidae,111,-999,-999
Fernandina's Flicker,Colaptes fernandinae,Colaptes_fernandinae,Aves,Piciformes,Picidae,137,-999,-999
Green-barred Woodpecker,Colaptes melanochloros,Colaptes_melanochloros,Aves,Piciformes,Picidae,127.75,113,128.75
Chilean Flicker,Colaptes pitius,Colaptes_pitius,Aves,Piciformes,Picidae,163,-999,-999
Spot-breasted Woodpecker,Colaptes punctigula,Colaptes_punctigula,Aves,Piciformes,Picidae,64,60.5,64.25
Crimson-mantled Woodpecker,Colaptes rivolii,Colaptes_rivolii,Aves,Piciformes,Picidae,107,-999,-999
Golden-olive Woodpecker,Colaptes rubiginosus,Colaptes_rubiginosus,Aves,Piciformes,Picidae,56.2,55.7,57.85
Andean Flicker,Colaptes rupicola,Colaptes_rupicola,Aves,Piciformes,Picidae,174,-999,-999
Sind Woodpecker,Dendrocopos assimilis,Dendrocopos_assimilis,Aves,Piciformes,Picidae,58.5,-999,-999
Stripe-breasted Woodpecker,Dendrocopos atratus,Dendrocopos_atratus,Aves,Piciformes,Picidae,49.5,-999,-999
Brown-fronted Woodpecker,Dendrocopos auriceps,Dendrocopos_auriceps,Aves,Piciformes,Picidae,41,39,41
