COMMON_NAME,SCIENTIFIC_NAME,TipLabel,class,order,family,adult_body_mass_g,female_body_mass_g,male_body_mass_g
Red-headed Vulture,Sarcogyps calvus,Sarcogyps_calvus,Aves,Accipitriformes,Accipitridae,4550,-999,-999
Crested Serpent Eagle,Spilornis cheela,Spilornis_cheela,Aves,Accipitriformes,Accipitridae,800,565,420
Philippine Serpent Eagle,Spilornis holospilus,Spilornis_holospilus,Aves,Accipitriformes,Accipitridae,765.25,565,420
Mountain Serpent Eagle,Spilornis kinabaluensis,Spilornis_kinabaluensis,Aves,Accipitriformes,Accipitridae,800,565,420
Great Nicobar Serpent Eagle,Spilornis klossi,Spilornis_klossi,Aves,Accipitriformes,Accipitridae,800,565,420
Sulawesi Serpent Eagle,Spilornis rufipectus,Spilornis_rufipectus,Aves,Accipitriformes,Accipitridae,800,565,420
Black-and-chestnut Eagle,Spizaetus isidori,Spizaetus_isidori,Aves,Accipitriformes,Accipitridae,-999,-999,-999
Black-and-white Hawk-Eagle,Spizaetus melanoleucus,Spizaetus_melanoleucus,Aves,Accipitriformes,Accipitridae,807.5,-999,765
Ornate Hawk-Eagle,Spizaetus ornatus,Spizaetus_ornatus,Aves,Accipitriformes,Accipitridae,1214.75,1410.5,1017
Black Hawk-Eagle,Spizaetus tyrannus,Spizaetus_tyrannus,Aves,Accipitriformes,Accipitridae,1067.25,1122,904
Crowned Eagle,Stephanoaetus coronatus,Stephanoaetus_coronatus,Aves,Accipitriformes,Accipitridae,3643.75,3757,3760
Bateleur,Terathopius ecaudatus,Terathopius_ecaudatus,Aves,Accipitriformes,Accipitridae,2278.166667,2439,2250
Lappet-faced Vulture,Torgos tracheliotos,Torgos_tracheliotos,Aves,Accipitriformes,Accipitridae,6800,6575,6800
White-headed Vulture,Trigonoceps occipitalis,Trigonoceps_occipitalis,Aves,Accipitriformes,Accipitridae,3828.5,4675,3813
Long-tailed Hawk,Urotriorchis macrourus,Urotriorchis_macrourus,Aves,Accipitriformes,Accipitridae,492,-999,492
Turkey Vulture,Cathartes aura,Cathartes_aura,Aves,Accipitriformes,Cathartidae,1776,1811,1426
Lesser Yellow-headed Vulture,Cathartes burrovianus,Cathartes_burrovianus,Aves,Accipitriformes,Cathartidae,1046,-999,-999
