class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d
Aves,Psittaciformes,Psittacidae,Bolborhynchus,orbygnesius,-999,Andean Parakeet,-999,-999,-999,43.1,9.2,-999,-999,-999,-999,-999,-999,-999,9.2,-999,-999,-999,-999,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,chiriri,-999,Yellow-chevroned Parakeet,730,5,1,68,37,-999,-999,-999,-999,3.9,26,56,28,730,-999,68,72.85,63.875,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,chrysoptera,-999,Golden-winged Parakeet,-999,3.5,-999,56.75,-999,-999,-999,-999,-999,4.3,-999,-999,-999,-999,-999,49.5,54.5,56.75,-999,-999,-999,17.5,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,cyanoptera,-999,Cobalt-winged Parakeet,-999,5.15,-999,65.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62.5,67.2,64.7,-999,-999,-999,17,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,jugularis,-999,Orange-chinned Parakeet,-999,5.3,-999,65.38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65.5,61,-999,-999,-999,-999,17,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,pyrrhoptera,-999,Grey-cheeked Parakeet,-999,5.15,-999,64,11.3,-999,-999,-999,-999,-999,-999,-999,11.3,-999,-999,60,68,64,-999,-999,-999,20,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,-999,Tui Parakeet,-999,-999,-999,59,13.2,-999,-999,-999,-999,-999,-999,-999,13.2,-999,-999,-999,-999,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,tirica,-999,Plain Parakeet,-999,4,-999,63,11,-999,-999,-999,-999,-999,-999,-999,11,-999,-999,63,-999,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus,-999,White-winged Parakeet,730,5,1,69.6,37,-999,-999,-999,-999,3.9,25.5,56,23.65,730,-999,68.3,73.725,66.15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Chalcopsitta,atra,-999,Black Lory,-999,-999,-999,227.5,17.5,-999,-999,-999,-999,-999,-999,-999,17.5,-999,-999,-999,-999,195,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Chalcopsitta,cardinalis,-999,Cardinal Lory,-999,-999,-999,184.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,184.75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Chalcopsitta,scintillata,-999,Yellowish-streaked Lory,-999,-999,-999,190,19.7,-999,-999,-999,-999,-999,-999,-999,19.7,-999,-999,-999,-999,190,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Charmosyna,josefinae,-999,Josephine's Lorikeet,-999,-999,-999,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Aves,Psittaciformes,Psittacidae,Charmosyna,margarethae,-999,Duchess Lorikeet,-999,-999,-999,48.95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.775,54.9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
