SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Lamprotornis elisabeth,Lamprotornis_elisabeth,Southern Blue-eared Glossy-starling,Lamprotornis chloropterus,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri,No
Lamprotornis purpureiceps,Lamprotornis_purpureiceps,Purple-headed Glossy-starling,Hylopsar purpureiceps,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri,No
Lamprotornis cupreocauda,Lamprotornis_cupreocauda,Copper-tailed Glossy-starling,Hylopsar cupreocauda,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri,No
Lamprotornis corruscus,Lamprotornis_corruscus,Black-bellied Glossy-starling,Notopholia corrusca,BL3,M4,Sturnidae,Starlings,177,PASSERIFORMES,Passeri,No
Zoothera tanganjicae,Zoothera_tanganjicae,Kivu Ground-thrush,Geokichla tanganjicae,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera princei,Zoothera_princei,Grey Ground-thrush,Geokichla princei,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera piaggiae,Zoothera_piaggiae,Abyssinian Ground-thrush,Geokichla piaggiae,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Stizorhina finschi,Stizorhina_finschi,Finsch's Rufous Thrush,Neocossyphus finschi,IOC27,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera major,Zoothera_major,Amami Thrush,Zoothera dauma,IOC27,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Turdus daguae,Turdus_daguae,Dagua Thrush,Turdus assimilis,IOC27,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Stizorhina fraseri,Stizorhina_fraseri,Rufous Flycatcher-thrush,Neocossyphus fraseri,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera oberlaenderi,Zoothera_oberlaenderi,Forest Ground-thrush,Geokichla oberlaenderi,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera camaronensis,Zoothera_camaronensis,Black-eared Ground-thrush,Geokichla camaronensis,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera crossleyi,Zoothera_crossleyi,Crossley's Ground-thrush,Geokichla crossleyi,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera guttata,Zoothera_guttata,Spotted Ground-thrush,Geokichla guttata,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera gurneyi,Zoothera_gurneyi,Orange Ground-thrush,Geokichla gurneyi,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Zoothera erythronota,Zoothera_erythronota,Red-backed Thrush,Geokichla erythronota,BL3,M5,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Alethe choloensis,Alethe_choloensis,Thyolo Alethe,Chamaetylas choloensis,BL3,M6,Turdidae,Thrushes,178,PASSERIFORMES,Passeri,No
Dicaeum aeruginosum,Dicaeum_aeruginosum,Striped Flowerpecker,Dicaeum agile,BL3,P2,Dicaeidae,Flowerpeckers,181,PASSERIFORMES,Passeri,No
Petronia brachydactyla,Petronia_brachydactyla,Pale Rock Sparrow,Carpospiza brachydactyla,BL3,P8,Passeridae,"Sparrows, snowfinches and allies",183,PASSERIFORMES,Passeri,No
Rhynchostruthus percivali,Rhynchostruthus_percivali,Arabian Grosbeak,Rhynchostruthus socotranus,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus buchanani,Serinus_buchanani,Kenya Grosbeak-canary,Crithagra buchanani,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus atrogularis,Serinus_atrogularis,Black-throated Seedeater,Sporophila ruficollis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus melanochrous,Serinus_melanochrous,Kipengere Seedeater,Crithagra melanochroa,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus citrinelloides,Serinus_citrinelloides,Abyssinian Citril,Crithagra citrinelloides,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus donaldsoni,Serinus_donaldsoni,Ethiopian Grosbeak-canary,Crithagra donaldsoni,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus flavigula,Serinus_flavigula,Yellow-throated Seedeater,Crithagra flavigula,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus xanthopygius,Serinus_xanthopygius,Yellow-rumped Seedeater,Crithagra xanthopygia,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus frontalis,Serinus_frontalis,Yellow-browed Citril,Crithagra frontalis,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Serinus hypostictus,Serinus_hypostictus,Grey-faced Citril,Crithagra hyposticta,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Carduelis sinica,Carduelis_sinica,Grey-capped Greenfinch,Chloris sinica,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Carduelis monguilloti,Carduelis_monguilloti,Vietnam Greenfinch,Chloris monguilloti,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Carpodacus rubescens,Carpodacus_rubescens,Crimson Rosefinch,Agraphospiza rubescens,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Hemignathus virens,Hemignathus_virens,Common Amakihi,Chlorodrepanis virens,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Leucosticte sillemi,Leucosticte_sillemi,Sillem's Mountain-finch,Carpodacus sillemi,BL3,P10,Fringillidae,Finches and Hawaiian honeycreepers,188,PASSERIFORMES,Passeri,No
Molothrus armenti,Molothrus_armenti,Bronze-brown Cowbird,Molothrus aeneus,IOC27,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Ocyalus latirostris,Ocyalus_latirostris,Band-tailed Oropendola,Cacicus latirostris,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Sturnella militaris,Sturnella_militaris,Red-breasted Blackbird,Leistes militaris,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Sturnella superciliaris,Sturnella_superciliaris,White-browed Blackbird,Leistes superciliaris,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Clypicterus oseryi,Clypicterus_oseryi,Casqued Oropendola,Cacicus oseryi,BL3,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Cacicus microrhynchus,Cacicus_microrhynchus,Scarlet-rumped Cacique,Cacicus uropygialis,IOC27,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Cacicus leucoramphus,Cacicus_leucoramphus,Northern Mountain Cacique,Cacicus chrysonotus,IOC27,P21,Icteridae,New World blackbirds,190,PASSERIFORMES,Passeri,No
Oryzoborus funereus,Oryzoborus_funereus,Thick-billed Seed-finch,Sporophila funerea,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Oryzoborus crassirostris,Oryzoborus_crassirostris,Large-billed Seed-finch,Sporophila crassirostris,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Oryzoborus atrirostris,Oryzoborus_atrirostris,Black-billed Seed-finch,Sporophila atrirostris,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Oryzoborus angolensis,Oryzoborus_angolensis,Lesser Seed-finch,Sporophila angolensis,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Oryzoborus nuttingi,Oryzoborus_nuttingi,Nicaraguan Seed-finch,Sporophila nuttingi,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza melanoleuca,Poospiza_melanoleuca,Black-capped Warbling-finch,Microspingus melanoleucus,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Oryzoborus maximiliani,Oryzoborus_maximiliani,Great-billed Seed-finch,Sporophila maximiliani,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza erythrophrys,Poospiza_erythrophrys,Rusty-browed Warbling-finch,Microspingus erythrophrys,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza cinerea,Poospiza_cinerea,Cinereous Warbling-finch,Microspingus cinereus,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza cabanisi,Poospiza_cabanisi,Grey-throated Warbling-finch,Microspingus cabanisi,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza alticola,Poospiza_alticola,Plain-tailed Warbling-finch,Microspingus alticola,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Phrygilus plebejus,Phrygilus_plebejus,Ash-breasted Sierra-finch,Geospizopsis plebejus,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza lateralis,Poospiza_lateralis,Buff-throated Warbling-finch,Microspingus lateralis,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Phrygilus unicolor,Phrygilus_unicolor,Plumbeous Sierra-finch,Geospizopsis unicolor,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza thoracica,Poospiza_thoracica,Bay-chested Warbling-finch,Castanozoster thoracicus,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Poospiza torquata,Poospiza_torquata,Ringed Warbling-finch,Microspingus torquatus,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Sporophila melanops,Sporophila_melanops,Hooded Seedeater,Sporophila nigricollis,BL3,P13P14P16,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Ammodramus leconteii,Ammodramus_leconteii,Le Conte's Sparrow,Ammospiza leconteii,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Amphispiza belli,Amphispiza_belli,Sage Sparrow,Artemisiospiza belli,BL3,P20b,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Diuca speculifera,Diuca_speculifera,White-winged Diuca-finch,Idiopsar speculifer,BL3,P17P18,Emberizidae,"Buntings, American sparrows and allies",192,PASSERIFORMES,Passeri,No
Ramphocelus costaricensis,Ramphocelus_costaricensis,Cherrie's Tanager,Ramphocelus passerinii,BL3,P13P14P16,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Ramphocelus icteronotus,Ramphocelus_icteronotus,Lemon-rumped Tanager,Ramphocelus flammigerus,IOC27,P13P14P16,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Piranga lutea,Piranga_lutea,Tooth-billed Tanager,Piranga flava,IOC27,P12,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Piranga hepatica,Piranga_hepatica,Hepatic Tanager,Piranga flava,IOC27,P12,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Dacnis egregia,Dacnis_egregia,Yellow-tufted Dacnis,Dacnis lineata,IOC27,P13P14P16,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Compsospiza garleppi,Compsospiza_garleppi,Cochabamba Mountain-finch,Poospiza garleppi,BL3,P13P14P16,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Compsospiza baeri,Compsospiza_baeri,Tucuman Mountain-finch,Poospiza baeri,BL3,P13P14P16,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Chlorothraupis frenata,Chlorothraupis_frenata,Olive Tanager,Chlorothraupis carmioli,IOC27,P12,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Buthraupis eximia,Buthraupis_eximia,Black-chested Mountain-tanager,Cnemathraupis eximia,BL3,P17P18,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Buthraupis aureodorsalis,Buthraupis_aureodorsalis,Golden-backed Mountain-tanager,Cnemathraupis aureodorsalis,BL3,P17P18,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Chlorospingus ophthalmicus,Chlorospingus_ophthalmicus,Common Bush-tanager,Chlorospingus flavopectus,BL3,P20b,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Delothraupis castaneoventris,Delothraupis_castaneoventris,Chestnut-bellied Mountain-tanager,Dubusia castaneoventris,BL3,P17P18,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Hemispingus piurae,Hemispingus_piurae,Piura Hemispingus,Sphenopsis melanotis,IOC27,P13P14P16,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Hemispingus ochraceus,Hemispingus_ochraceus,Western Hemispingus,Sphenopsis melanotis,IOC27,P13P14P16,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Hemispingus reyi,Hemispingus_reyi,Grey-capped Hemispingus,Kleinothraupis reyi,BL3,P13P14P16,Thraupidae,Tanagers,193,PASSERIFORMES,Passeri,No
Hemispingus auricularis,Hemispingus_auricularis,White-browed Hemispingus,Kleinothraupis atropileus,IOC27,P13P14P16,Thraupidae,Tanagers and Allies,193,PASSERIFORMES,Passeri,No
Saltator rufiventris,Saltator_rufiventris,Rufous-bellied Saltator,Pseudosaltator rufiventris,BL3,P17P18,Cardinalidae,"Grosbeaks, saltators and allies",194,PASSERIFORMES,Passeri,No
