SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,ebird_SCIENTIFIC_NAME,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Aratinga rubritorquis,Aratinga_rubritorquis,Red-throated Parakeet,Psittacara holochlorus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Aratinga brevipes,Aratinga_brevipes,Socorro Parakeet,Psittacara holochlorus,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Ninox superciliaris,Ninox_superciliaris,White-browed Hawk-owl,Athene superciliaris,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Ninox boobook,Ninox_boobook,Southern Boobook,Ninox novaeseelandiae,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Otus leucotis,Otus_leucotis,White-faced Scops-owl,Ptilopsis leucotis,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Otus podarginus,Otus_podarginus,Palau Scops-owl,Pyrroglaux podargina,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Otus siaoensis,Otus_siaoensis,Siau Scops-owl,Otus manadensis,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Bubo magellanicus,Bubo_magellanicus,Lesser Horned Owl,Bubo virginianus,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Glaucidium californicum,Glaucidium_californicum,Northern Pygmy Owl,Glaucidium gnoma,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Megascops colombianus,Megascops_colombianus,Colombian Screech-owl,Megascops ingens,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Glaucidium nanum,Glaucidium_nanum,Austral Pygmy-owl,Glaucidium nana,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Mimizuku gurneyi,Mimizuku_gurneyi,Giant Scops-owl,Otus gurneyi,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Batrachostomus mixtus,Batrachostomus_mixtus,Bornean Frogmouth,Batrachostomus poliolophus,BL3,Podargidae,Podargidae,Frogmouths,72,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus vociferus,Caprimulgus_vociferus,Whip-poor-will,Antrostomus vociferus,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus ekmani,Caprimulgus_ekmani,Hispaniola Nightjar,Antrostomus cubanensis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Caprimulgus cubanensis,Caprimulgus_cubanensis,Cuban Nightjar,Antrostomus cubanensis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Eurostopodus temminckii,Eurostopodus_temminckii,Malaysian Eared-nightjar,Lyncornis temminckii,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Eurostopodus macrotis,Eurostopodus_macrotis,Great Eared-nightjar,Lyncornis macrotis,BL3,Caprimulgidae,Caprimulgidae,Nightjars,75,CAPRIMULGIFORMES,NONPASSERIFORMES,No
Apus toulsoni,Apus_toulsoni,Loanda Swift,Apus horus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Apus sladeniae,Apus_sladeniae,Fernando Po Swift,Apus barbatus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia fuciphaga,Collocalia_fuciphaga,Edible-nest Swiftlet,Aerodramus fuciphagus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia germani,Collocalia_germani,German's Swiftlet,Aerodramus germani,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia infuscata,Collocalia_infuscata,Moluccan Swiftlet,Aerodramus infuscatus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia inquieta,Collocalia_inquieta,Micronesian Swiftlet,Aerodramus inquietus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia leucophaea,Collocalia_leucophaea,Tahiti Swiftlet,Aerodramus leucophaeus,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia rogersi,Collocalia_rogersi,Indochinese Swiftlet,Aerodramus brevirostris,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia papuensis,Collocalia_papuensis,Papuan Swiftlet,Aerodramus papuensis,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia palawanensis,Collocalia_palawanensis,Palawan Swiftlet,Aerodramus pelewensis,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia amelis,Collocalia_amelis,Grey Swiftlet,Aerodramus terraereginae,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Collocalia bartschi,Collocalia_bartschi,Guam Swiftlet,Aerodramus bartschi,BL3,Apodidae,Apodidae,Swifts,77,APODIFORMES,NONPASSERIFORMES,No
Thalurania fannyi,Thalurania_fannyi,Green-crowned Woodnymph,Thalurania colombica,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,No
Trochilus scitulus,Trochilus_scitulus,Black-billed Streamertail,Trochilus polytmus,BL3,Trochilidae,Trochilidae,Hummingbirds,79,APODIFORMES,NONPASSERIFORMES,No
Ceyx lecontei,Ceyx_lecontei,African Dwarf-kingfisher,Ispidina lecontei,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
Ceyx madagascariensis,Ceyx_madagascariensis,Madagascar Pygmy-kingfisher,Corythornis madagascariensis,BL3,Alcedinidae,Alcedinidae,Kingfishers,85,CORACIIFORMES,NONPASSERIFORMES,No
