SCIENTIFIC_NAME_tree,TipLabel,COMMON_NAME_tree,Taxonomy,Clade,BLFamilyLatin,BLFamilyEnglish,FamSequID,Order,OscSubOsc,matched
Gallicolumba hoedtii,Gallicolumba_hoedtii,Wetar Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba erythroptera,Gallicolumba_erythroptera,Polynesian Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon linearis,Geotrygon_linearis,Lined Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon veraguensis,Geotrygon_veraguensis,Olive-backed Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon frenata,Geotrygon_frenata,White-throated Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Leptotila cassini,Leptotila_cassini,Grey-chested Dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon albifacies,Geotrygon_albifacies,White-faced Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon lawrencii,Geotrygon_lawrencii,Purplish-backed Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon goldmani,Geotrygon_goldmani,Russet-crowned Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon carrikeri,Geotrygon_carrikeri,Tuxtla Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon chiriquensis,Geotrygon_chiriquensis,Rufous-breasted Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Geotrygon costaricensis,Geotrygon_costaricensis,Buff-fronted Quail-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba beccarii,Gallicolumba_beccarii,Bronze Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Gallicolumba canifrons,Gallicolumba_canifrons,Palau Ground-dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Leptotila battyi,Leptotila_battyi,Brown-backed Dove,BL3,Columbidae,Columbidae,Doves and pigeons,65,COLUMBIFORMES,NONPASSERIFORMES,No
Chrysococcyx russatus,Chrysococcyx_russatus,Gould's Bronze-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Chrysococcyx crassirostris,Chrysococcyx_crassirostris,Pied Bronze-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Centropus spilopterus,Centropus_spilopterus,Kai Coucal,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus fugax,Cuculus_fugax,Hodgson's Hawk-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Chrysococcyx meyeri,Chrysococcyx_meyeri,White-eared Bronze-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus varius,Cuculus_varius,Common Hawk-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus vagans,Cuculus_vagans,Moustached Hawk-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cuculus sparverioides,Cuculus_sparverioides,Large Hawk-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Carpococcyx radiatus,Carpococcyx_radiatus,Bornean Ground-cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Cacomantis sepulcralis,Cacomantis_sepulcralis,Rusty-breasted Cuckoo,BL3,Cuculidae,Cuculidae,Cuckoos,67,CUCULIFORMES,NONPASSERIFORMES,No
Psittacula calthropae,Psittacula_calthropae,Emerald-collared Parakeet,BL3,Psittacidae1,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Cacatua leadbeateri,Cacatua_leadbeateri,Major Mitchell's Cockatoo,BL3,Cacatuidae,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Amazona mercenaria,Amazona_mercenaria,Scaly-naped Amazon,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Aratinga rubritorquis,Aratinga_rubritorquis,Red-throated Parakeet,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Aratinga brevipes,Aratinga_brevipes,Socorro Parakeet,BL3,Psittacidae2,Psittacidae,Parrots,68,PSITTACIFORMES,NONPASSERIFORMES,No
Ninox superciliaris,Ninox_superciliaris,White-browed Hawk-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Ninox boobook,Ninox_boobook,Southern Boobook,IOC27,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
Otus leucotis,Otus_leucotis,White-faced Scops-owl,BL3,Strigidae,Strigidae,Owls,71,STRIGIFORMES,NONPASSERIFORMES,No
