SCIENTIFIC_NAME,Order,Family,brain_size_mm3,body_mass_g,brain_residual,migration_status,diet_breadth,development_mode,development_time_days
Vermivora_ruficapilla,PASSERIFORMES (PASSERIDA),Parulidae,0.4,8.1,0.203424656,Migrant,0.032687689,altricial,22.25
Vidua_paradisaea,PASSERIFORMES (PASSERIDA),Viduidae,0.64,20.4,0.155439234,Resident,0,altricial,32
Vini_stepheni,PSITTACIFORMES,Psittacidae,2.08,49.1,0.841535339,Resident,0.097557816,altricial,NA
Vireo_altiloquus,PASSERIFORMES (CORVIDA),Vireonidae,0.75,19.48,0.339923002,Migrant,0.071259387,altricial,25
Vireo_griseus,PASSERIFORMES (CORVIDA),Vireonidae,0.58,11.4,0.383337264,Migrant,0.076257731,altricial,23.75
Vireo_magister,PASSERIFORMES (CORVIDA),Vireonidae,0.72,15.92,0.412276029,Resident,0,altricial,NA
Vireo_olivaceus,PASSERIFORMES (CORVIDA),Vireonidae,0.61,19.57,0.130723782,Migrant,0.155013722,altricial,23.65
Volatinia_jacarina,PASSERIFORMES (PASSERIDA),Emberizidae,0.49,9.7,0.305275754,Resident,0.184667863,altricial,19.75
Vultur_gryphus,ACCIPITRIFORMES,Cathartidae,31.56,11300,0.511068271,Resident,NA,altricial,230
Willisornis_poecilinotus,PASSERIFORMES (SUBOSCINES),Thamnophilidae,0.64,18.4,0.213304334,Resident,0.003370399,altricial,NA
Wilsonia_citrina,PASSERIFORMES (PASSERIDA),Parulidae,0.48,10.55,0.237549786,Migrant,0,altricial,20.5
Xanthocephalus_xanthocephalus,PASSERIFORMES (PASSERIDA),Icteridae,1.65,64.5,0.456954664,Migrant,0.17491013,altricial,27.25
Xanthomyza_phrygia,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,1.03,33.5,0.353125413,Resident,0.100719645,altricial,28.5
Xanthotis_flaviventer,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,1.05,33.13,0.378585078,Resident,0.114730902,altricial,29
Xanthotis_macleayanus,PASSERIFORMES (MELIPHAGIDA),Meliphagidae,0.905,32.5,0.240741333,Resident,0.114730902,altricial,NA
Xema_sabini,CHARADRIIFORMES,Laridae,2.21,198,0.120184344,Migrant,0.130851736,precocial,34.15
Xenops_minutus,PASSERIFORMES (SUBOSCINES),Furnariidae,0.49,11.7,0.200147655,Resident,0,altricial,29.5
Xenus_cinereus,CHARADRIIFORMES,Scolopacidae,1.03,66,-0.027154206,Migrant,0.17491013,precocial,33.3
Xiphorhynchus_guttatus,PASSERIFORMES (SUBOSCINES),Dendrocolaptidae,1.5,59.7,0.405012479,Resident,0.003370399,altricial,38
Xolmis_irupero,PASSERIFORMES (SUBOSCINES),Tyrannidae,0.82,29.8,0.190749343,Resident,0,altricial,29
Xolmis_pyrope,PASSERIFORMES (SUBOSCINES),Tyrannidae,1.28,42.73,0.433954214,Migrant,0.050598381,altricial,29.5
Yuhina_diademata,PASSERIFORMES (PASSERIDA),Timaliidae,0.77,18.5,0.395187131,Resident,NA,altricial,NA
Zenaida_asiatica,COLUMBIFORMES,Columbidae,1.45,127,-0.052207253,Migrant,0.150518377,altricial,28.25
Zenaida_auriculata,COLUMBIFORMES,Columbidae,1.19,112.65,-0.182577508,Resident,0.03721681,altricial,27.5
