Species;resident.km2;breeding.km2;non-breeding.km2;passage.km2;range.size.km2
Alcippe pyrrhoptera;24838.22756;;;;24838.22756
Aleadryas rufinucha;141874.3395;;;;141874.3395
Alectoris barbara;1360665.148;;;;1360665.148
Alectoris chukar;10342875.01;;;;10342875.01
Alectoris graeca;538520.5496;;;;538520.5496
Alectoris magna;623819.593;;;;623819.593
Alectoris melanocephala;351918.6817;;;;351918.6817
Alectoris philbyi;80603.74105;;;;80603.74105
Alectoris rufa;953909.7705;;;;953909.7705
Alectroenas madagascariensis;311755.1468;;;;311755.1468
Alectroenas pulcherrimus;236.176954;;;;236.176954
Alectroenas sganzini;2189.984945;;;;2189.984945
Alectrurus risora;98789.41132;;;;98789.41132
Alectrurus tricolor;1047462.666;;;;1047462.666
Alectura lathami;642961.4366;;;;642961.4366
Alethe castanea;3010720.539;;;;3010720.539
Alethe diademata;466443.1347;;;;466443.1347
Alipiopsitta xanthops;1892768.875;;;;1892768.875
Alisterus amboinensis;148972.327;;;;148972.327
Alisterus chloropterus;323904.6183;;;;323904.6183
Alisterus scapularis;811767.8842;;;;811767.8842
Alle alle;68074.15871;305949.988;13746501.37;;14120525.51
Allenia fusca;5484.827963;;;;5484.827963
Alopecoenas beccarii;167177.6008;;;;167177.6008
Alopecoenas canifrons;451.6281345;;;;451.6281345
Alopecoenas erythropterus;37.265058;;;;37.265058
Alopecoenas hoedtii;28016.93213;;;;28016.93213
Alopecoenas jobiensis;647195.107;;;;647195.107
Alopecoenas johannae;71905.50499;;;;71905.50499
Alopecoenas kubaryi;422.121797;;;;422.121797
Alopecoenas rubescens;9.488917;;;;9.488917
Alopecoenas sanctaecrucis;1686.408291;;;;1686.408291
Alopecoenas stairi;21005.16949;;;;21005.16949
Alopecoenas xanthonurus;1096.73497;;;;1096.73497
Alophoixus bres;87253.75411;;;;87253.75411
Alophoixus finschii;779990.6536;;;;779990.6536
Alophoixus flaveolus;559746.7239;;;;559746.7239
Alophoixus frater;13691.90299;;;;13691.90299
Alophoixus griseiceps;13299.8257;;;;13299.8257
Alophoixus ochraceus;407152.4818;;;;407152.4818
Alophoixus pallidus;1388299.869;;;;1388299.869
Alophoixus phaeocephalus;1369157.985;;;;1369157.985
Alophoixus ruficrissus;257965.2795;;;;257965.2795
Alophoixus tephrogenys;874150.3686;;;;874150.3686
Alopochelidon fucata;4080188.372;215143.6164;;;4295331.988
Alopochen aegyptiaca;17452010.48;;50185.65011;;17502196.13
Amadina erythrocephala;1628483.516;;;;1628483.516
Amadina fasciata;3347490.43;;;;3347490.43
Amalocichla incerta;161155.8796;;;;161155.8796
Amalocichla sclateriana;11722.12894;;;;11722.12894
Amandava amandava;3577872.458;;;;3577872.458
Amandava formosa;554982.2235;;;;554982.2235
Amandava subflava;3243285.354;;;;3243285.354
Amaurocichla bocagii;328.5154658;;;;328.5154658
Amaurolimnas concolor;1703435.007;;;;1703435.007
Amaurornis cinerea;3634788.323;;;;3634788.323
Amaurornis isabellina;50963.41729;;;;50963.41729
Amaurornis magnirostris;838.813583;;;;838.813583
Amaurornis marginalis;348260.898;3509910.858;836785.1695;;4694956.926
Amaurornis moluccana;1265478.32;;;;1265478.32
Amaurornis olivacea;271284.2057;;;;271284.2057
Amaurornis phoenicurus;8145267.213;1692766.39;190593.1189;;10028626.72
Amaurospiza moesta;827579.8487;;;;827579.8487
Amaurospiza relicta;83026.98756;;;;83026.98756
Amazilia amabilis;298553.7245;;;;298553.7245
Amazilia amazilia;169502.3062;;;;169502.3062
Amazilia bartletti;1032656.355;;;;1032656.355
Amazilia beryllina;607297.78;;;;607297.78
Amazilia boucardi;1265.634964;;;;1265.634964
Amazilia brevirostris;584138.4049;;;;584138.4049
Amazilia candida;429680.6709;;11399.87959;;441080.5505
Amazilia castaneiventris;3132.033387;;;;3132.033387
Amazilia chionogaster;488869.3304;;;;488869.3304
Amazilia cupreicauda;235915.5412;;;;235915.5412
Amazilia cyanifrons;54805.10514;;;;54805.10514
Amazilia cyanocephala;303895.5828;;;;303895.5828
Amazilia cyanura;75240.33891;;;;75240.33891
Amazilia decora;13117.53198;;;;13117.53198
Amazilia edward;42571.2903;;;;42571.2903
Amazilia fimbriata;10739425.23;;;;10739425.23
Amazilia franciae;247253.924;;;;247253.924
Amazilia grayi;39651.53971;;;;39651.53971
Amazilia humboldtii;21109.64425;;;;21109.64425
Amazilia lactea;1572668.84;;;;1572668.84
Amazilia leucogaster;322094.6184;;;;322094.6184
Amazilia luciae;371.7057025;;;;371.7057025
Amazilia rosenbergi;67061.5546;;;;67061.5546
Amazilia rutila;397725.2867;;;;397725.2867
Amazilia sapphirina;3919780.886;;;;3919780.886
Amazilia saucerottei;244845.785;;;;244845.785
Amazilia tobaci;434963.2672;;;;434963.2672
Amazilia tzacatl;1020147.793;;;;1020147.793
Amazilia versicolor;5113386.45;;;;5113386.45
Amazilia violiceps;415673.3042;140148.6709;;;555821.9751
Amazilia viridicauda;28734.05551;;;;28734.05551
Amazilia viridifrons;76128.77653;;;;76128.77653
Amazilia viridigaster;42925.32949;;;;42925.32949
Amazilia wagneri;16787.17315;;;;16787.17315
Amazilia yucatanensis;395251.9299;;186691.602;;581943.5319
Amazona aestiva;4217535.527;;;;4217535.527
Amazona agilis;2564.687151;;;;2564.687151
Amazona albifrons;544524.7244;;;;544524.7244
Amazona amazonica;7376883.251;;;;7376883.251
Amazona arausiaca;66.0919965;;;;66.0919965
Amazona auropalliata;128971.8127;;;;128971.8127
Amazona autumnalis;875816.5412;;;;875816.5412
Amazona barbadensis;4375.268122;;;;4375.268122
Amazona bodini;125017.4341;;;;125017.4341
Amazona brasiliensis;4747.635451;;;;4747.635451
Amazona collaria;5420.490237;;;;5420.490237
Amazona diadema;63421.30449;;;;63421.30449
Amazona dufresniana;369573.8716;;;;369573.8716
Amazona farinosa;6793319.742;;;;6793319.742
Amazona festiva;688591.2481;;;;688591.2481
Amazona finschi;110776.642;;;;110776.642
Amazona guatemalae;366133.3595;;;;366133.3595
Amazona guildingii;39.900689;;;;39.900689
Amazona imperialis;54.1380935;;;;54.1380935
Amazona kawalli;812295.0501;;;;812295.0501
Amazona leucocephala;31081.78503;;;;31081.78503
Amazona lilacina;67261.79107;;;;67261.79107
Amazona mercenarius;432304.0041;;;;432304.0041
Amazona ochrocephala;6625989.578;;;;6625989.578
Amazona oratrix;48161.14263;;;;48161.14263
Amazona pretrei;8253.011796;2084.238488;1.254403;;10338.50469
Amazona rhodocorytha;2469.046471;;;;2469.046471
Amazona tucumana;68898.05279;;;;68898.05279
Amazona ventralis;6992.195689;;;;6992.195689
Amazona versicolor;147.468798;;;;147.468798
Amazona vinacea;105320.9104;;;;105320.9104
Amazona viridigenalis;7808.760918;;;;7808.760918
Amazona vittata;174.911005;;;;174.911005
Amazona xantholora;131389.2844;;;;131389.2844
Amazonetta brasiliensis;8743265.071;;;;8743265.071
Amblycercus holosericeus;1152712.515;;;;1152712.515
Amblyornis flavifrons;984.424516;;;;984.424516
Amblyornis inornata;16141.66621;;;;16141.66621
Amblyornis macgregoriae;139560.732;;;;139560.732
Amblyornis subalaris;18440.2563;;;;18440.2563
Amblyospiza albifrons;3411727.99;;;;3411727.99
Amblyramphus holosericeus;1268283.469;;;;1268283.469
Ammodramus aurifrons;3867229.475;;;;3867229.475
Ammodramus humeralis;8729352.615;;;;8729352.615
Ammodramus savannarum;727891.412;4489276.207;2669825.152;257.4769215;7887250.248
Ammomanes cinctura;6594719.867;;;;6594719.867
Ammomanes deserti;11374508.19;58078.91905;60009.68084;;11492596.79
Ammomanes phoenicura;1621781.818;109604.7317;;;1731386.55
Ammomanopsis grayi;184304.7444;;;;184304.7444
Ammonastes pelzelni;58874.06343;;;;58874.06343
Ammoperdix griseogularis;2996205.546;;;;2996205.546
Ammoperdix heyi;1665003.774;;;;1665003.774
Ammospiza caudacuta;47078.09083;22426.64527;85622.71902;;155127.4551
Ammospiza leconteii;;2865853.942;1455709.291;1270915.499;5592478.732
Ammospiza maritima;157766.9922;15622.75741;37289.09729;;210678.8469
Ammospiza nelsoni;;1344328.351;212295.6249;1213295.592;2769919.567
Ampeliceps coronatus;1377737.458;;;;1377737.458
Ampelioides tschudii;200911.0877;;;;200911.0877
Ampelion rubrocristatus;413268.0578;;;;413268.0578
Ampelion rufaxilla;79602.11703;;;;79602.11703
Ampelornis griseiceps;17762.93416;;;;17762.93416
Amphilais seebohmi;290762.581;;;;290762.581
Amphispiza bilineata;1603227.111;844452.1638;;;2447679.275
Amphispiza quinquestriata;151579.5785;;;;151579.5785
Amytornis ballarae;58313.07235;;;;58313.07235
Amytornis barbatus;55917.90961;;;;55917.90961
Amytornis dorotheae;74684.34914;;;;74684.34914
Amytornis goyderi;227645.2788;;;;227645.2788
Amytornis housei;32847.79457;;;;32847.79457
Amytornis merrotsyi;43113.58718;;;;43113.58718
Amytornis modestus;305920.0798;;;;305920.0798
Amytornis purnelli;653510.5498;;;;653510.5498
Amytornis striatus;912180.1241;;;;912180.1241
Amytornis textilis;109011.7755;;;;109011.7755
Amytornis woodwardi;5503.365166;;;;5503.365166
Anabacerthia amaurotis;498484.4633;;;;498484.4633
Anabacerthia lichtensteini;1588896.719;;;;1588896.719
Anabacerthia ruficaudata;4311516.118;;;;4311516.118
Anabacerthia striaticollis;334900.8252;;;;334900.8252
Anabacerthia variegaticeps;215164.7247;;;;215164.7247
Anabathmis hartlaubii;149.001895;;;;149.001895
Anabathmis newtonii;867.004084;;;;867.004084
Anabathmis reichenbachii;2222019.671;;;;2222019.671
Anabazenops dorsalis;480161.5618;;;;480161.5618
Anabazenops fuscus;372914.5113;;;;372914.5113
Anairetes alpinus;11673.07967;;;;11673.07967
Anairetes fernandezianus;86.884589;;;;86.884589
Anairetes flavirostris;1523078.7;;523477.2253;;2046555.926
Anairetes nigrocristatus;48624.81751;;;;48624.81751
Anairetes parulus;2636349.712;;;;2636349.712
Anairetes reguloides;103577.1924;;;;103577.1924
Anaplectes jubaensis;30573.32751;;;;30573.32751
Anaplectes leuconotos;3232236.728;;;;3232236.728
Anaplectes rubriceps;3258158.541;;;;3258158.541
Anarhynchus frontalis;;9611.075717;7595.300693;;17206.37641
Anas acuta;;28405504.04;22955747.69;1561163.959;52922415.69
Anas albogularis;4848.251399;;;;4848.251399
Anas andium;410564.678;;;;410564.678
Anas aucklandica;31.257012;;;;31.257012
Anas bahamensis;2992235.66;;;;2992235.66
Anas bernieri;53361.55067;;;;53361.55067
Anas capensis;4317362.397;;;;4317362.397
Anas castanea;3133753.187;;;;3133753.187
Anas chlorotis;926.631207;;;;926.631207
Anas crecca;1944328.327;29833299.26;24448215.81;1404536.708;57630380.11
Anas eatoni;7379.671137;;;;7379.671137
