Binomial,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Beak_PC1,Beak_PC2,Beak_PC3,Beak_PC4,Realm,TrophicLevel,TrophicNiche,ForagingNiche,
Nectarinia_fuelleborni,-2.167391776,-0.609827402,0.428493537,-0.377713672,0.26926193,0.081611414,0.083430369,0.09578933,-0.060296711,-0.654722137,0.769631342,0.076396499,0.123102018,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_fuliginosa,-1.663415756,-0.663376025,0.446332885,-0.356451695,0.157486946,0.18708584,0.130038067,0.132477798,-0.022408899,-0.378421184,0.77622812,0.1345989,0.096668862,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_fusca,-2.143503235,-0.679690981,0.365652467,-0.290268931,0.318448564,0.11508643,0.099833607,0.036378433,-0.028597884,-0.546561347,0.680358265,0.093461334,0.106977854,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_habessinica,-1.920575011,-0.567269089,0.28254833,-0.455683344,0.173127754,0.123665987,0.100154129,0.108818008,-0.042082486,-0.577733674,0.715540272,0.103427925,0.111704265,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_hartlaubii,-1.748819305,-0.539747083,0.313755104,-0.480685063,0.368900573,0.005977671,0.004274611,0.019966867,-0.056287568,-0.49570465,0.730982194,-0.012616878,0.102796713,Afrotropic,Omnivore,Invertivore,Invertivore glean arboreal,
Nectarinia_humbloti,-2.388204855,-0.781267651,0.310361742,-0.095839531,0.308516498,0.128126084,0.0737397,0.025996412,-0.002863421,-0.534211199,0.540961534,0.070767935,0.112031673,Madagascar,Omnivore,Omnivore,NA,
Nectarinia_hunteri,-1.574435998,-0.745541476,0.475490064,-0.546187055,0.24709021,0.169525858,0.125377467,0.141154398,-0.055591695,-0.300289137,0.952447391,0.124967957,0.126222281,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_johannae,-1.327565378,-1.156894162,0.599300693,-0.395189335,0.243734829,0.201770973,0.073942807,0.14398636,0.026291558,0.177737483,1.039910709,0.07455568,0.096558685,Afrotropic,Herbivore,Omnivore,NA,
Nectarinia_johnstoni,-1.027287201,-0.818689692,0.054875404,-1.05234349,0.126364912,-0.221831476,0.262490671,0.087735704,-0.047050311,-0.030667815,1.047973184,0.250463679,0.074320017,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_jugularis,-2.241041568,-0.629753306,0.589777657,-0.051430808,0.132442576,0.140799276,0.148408623,0.105962012,-0.089952219,-0.655028893,0.653315243,0.155336122,0.15757113,Indo_Malay,Omnivore,Omnivore,NA,
Nectarinia_kilimensis,-1.183273311,-0.654999428,0.129493426,-0.705122471,0.094549871,-0.146832936,0.154968706,0.123730818,-0.064364163,-0.191074483,0.810083208,0.147595692,0.099870421,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_lotenia,-1.799068577,-1.196125836,0.438044031,-0.274587544,0.251755285,0.187635824,0.129236498,0.128214626,0.018823483,0.028440713,0.871518506,0.133131381,0.124082539,Indo_Malay,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_loveridgei,-1.854535267,-0.770709658,0.521399329,-0.359978998,0.343294064,0.137972051,0.098217588,0.087173274,-0.068337219,-0.370072433,0.857228051,0.091145654,0.142387887,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_ludovicensis,-1.987149686,-0.511640134,0.206225506,-0.40368533,0.290634335,0.116080885,-0.019247428,0.066922227,-0.001961288,-0.61214536,0.607903242,-0.025887315,0.080413731,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_manoensis,-1.965252505,-0.583677633,0.417486499,-0.440203972,0.249519417,0.094698269,0.110969222,0.08052085,-0.088440497,-0.593920983,0.794325644,0.108750482,0.142141699,Afrotropic,Omnivore,Omnivore,NA,
Nectarinia_mariquensis,-1.688354831,-0.612268809,0.320629022,-0.358440917,0.176438166,0.109904797,0.02578624,0.084245689,-0.057336686,-0.414421203,0.67776906,0.030449892,0.132741995,Afrotropic,Omnivore,Nectarivore,Nectarivore glean,
Nectarinia_mediocris,-2.194565029,-0.57445879,0.437272912,-0.267404378,0.289938432,0.115579646,0.114161581,0.076338994,-0.058368939,-0.672268142,0.685547639,0.107469138,0.119931386,Afrotropic,Herbivore,Nectarivore,Nectarivore glean,
